"","Team","Season","GP","TOI","CF","CA","C...","CF.","CF.60","CA.60","GF","GA","G...","GF.","GF.60","GA.60","xGF","xGA","xG...","xGF.","xGF.60","xGA.60","PENT","PEND","P...","Sh.","Sv.","PDO"
"317","N.J","2017-2018",82,413.98,126,643,-517,16.38,18.26,93.19,11,44,-33,20,1.59,6.38,11.5,47.01,-35.51,19.65,1.67,6.81,10,18,8,11.7,87.54,99.24
"318","NSH","2017-2018",82,470.89,109,773,-664,12.36,13.89,98.49,10,52,-42,16.13,1.27,6.63,9.13,52.83,-43.7,14.74,1.16,6.73,10,26,16,11.63,87.88,99.51
"319","NYI","2017-2018",82,374.22,89,741,-652,10.72,14.27,118.81,5,60,-55,7.69,0.8,9.62,6.45,49.55,-43.1,11.52,1.03,7.94,11,13,2,8.06,85.82,93.88
"320","NYR","2017-2018",82,395.56,92,637,-545,12.62,13.95,96.62,5,44,-39,10.2,0.76,6.67,6.71,50.52,-43.81,11.72,1.02,7.66,7,14,7,8.33,87.95,96.28
"321","OTT","2017-2018",82,375.65,121,642,-521,15.86,19.33,102.54,4,52,-48,7.14,0.64,8.31,6.15,44.73,-38.58,12.09,0.98,7.14,8,10,2,4.6,85.27,89.87
"322","PHI","2017-2018",82,325.37,85,515,-430,14.17,15.67,94.97,3,50,-47,5.66,0.55,9.22,5.45,33.82,-28.37,13.88,1.01,6.24,9,8,-1,4.55,81.34,85.89
"323","PIT","2017-2018",82,410.66,85,640,-555,11.72,12.42,93.51,5,49,-44,9.26,0.73,7.16,4.35,46.66,-42.31,8.53,0.64,6.82,15,16,1,7.94,86.86,94.8
"324","S.J","2017-2018",82,348.62,95,570,-475,14.29,16.35,98.1,7,31,-24,18.42,1.2,5.34,6.69,40.69,-34,14.12,1.15,7,11,18,7,10.14,90.03,100.18
"325","STL","2017-2018",82,364.86,99,575,-476,14.69,16.28,94.56,3,42,-39,6.67,0.49,6.91,6.13,37.9,-31.77,13.92,1.01,6.23,8,19,11,3.66,86.23,89.89
"326","T.B","2017-2018",82,408.04,81,705,-624,10.31,11.91,103.67,8,54,-46,12.9,1.18,7.94,5.57,42.86,-37.29,11.5,0.82,6.3,13,17,4,14.55,86.36,100.91
"327","TOR","2017-2018",82,366.92,75,600,-525,11.11,12.26,98.11,4,38,-34,9.52,0.65,6.21,4.43,45.58,-41.15,8.86,0.72,7.45,7,11,4,8,88.27,96.27
"328","VAN","2017-2018",81,420.64,124,645,-521,16.12,17.69,92,7,55,-48,11.29,1,7.85,7.86,44.07,-36.21,15.14,1.12,6.29,3,18,15,7.22,84.15,91.37
"329","VGK","2017-2018",82,376,103,602,-499,14.61,16.44,96.06,8,41,-33,16.33,1.28,6.54,6.69,42.74,-36.05,13.53,1.07,6.82,5,10,5,12.5,87.83,100.33
"330","WPG","2017-2018",82,429.73,100,860,-760,10.42,13.96,120.08,7,43,-36,14,0.98,6,6.11,58.29,-52.18,9.49,0.85,8.14,13,18,5,10.94,90.61,101.55
"331","WSH","2017-2018",82,428.1,85,746,-661,10.23,11.91,104.56,3,48,-45,5.88,0.42,6.73,6.77,53.15,-46.38,11.3,0.95,7.45,12,10,-2,5.56,87.79,93.34
"332","ANA","2018-2019",29,161.87,35,279,-244,11.15,12.97,103.42,0,20,-20,0,0,7.41,1.82,21.01,-19.19,7.98,0.68,7.79,3,10,7,0,88.37,88.37
"333","ARI","2018-2019",25,133.77,49,180,-131,21.4,21.98,80.74,9,7,2,56.25,4.04,3.14,3.42,12.55,-9.13,21.43,1.54,5.63,3,5,2,25,92.13,117.13
"334","BOS","2018-2019",26,122.17,38,229,-191,14.23,18.66,112.47,0,17,-17,0,0,8.35,2.04,16.55,-14.5,10.99,1,8.13,6,5,-1,0,87.59,87.59
"335","BUF","2018-2019",28,134.72,20,228,-208,8.06,8.91,101.55,0,17,-17,0,0,7.57,0.95,16.97,-16.02,5.31,0.42,7.56,3,6,3,0,86.82,86.82
"336","CAR","2018-2019",26,124.13,47,154,-107,23.38,22.72,74.44,0,15,-15,0,0,7.25,3.91,12.33,-8.43,24.05,1.89,5.96,0,7,7,0,81.01,81.01
"337","CBJ","2018-2019",26,120.3,39,164,-125,19.21,19.45,81.8,3,16,-13,15.79,1.5,7.98,1.93,13.76,-11.83,12.31,0.96,6.86,2,0,-2,9.68,82.8,92.47
"338","CGY","2018-2019",27,121.83,31,163,-132,15.98,15.27,80.27,4,17,-13,19.05,1.97,8.37,2.83,11.21,-8.38,20.17,1.39,5.52,5,7,2,18.18,80.68,98.86
"339","CHI","2018-2019",28,134.82,36,233,-197,13.38,16.02,103.7,2,22,-20,8.33,0.89,9.79,3.91,18.63,-14.73,17.34,1.74,8.29,2,11,9,7.14,84.4,91.54
"340","COL","2018-2019",27,165.27,41,292,-251,12.31,14.89,106.01,3,16,-13,15.79,1.09,5.81,3.06,16.07,-13.01,16,1.11,5.83,2,2,0,8.33,89.74,98.08
"341","DAL","2018-2019",28,133.42,30,211,-181,12.45,13.49,94.89,2,11,-9,15.38,0.9,4.95,2.34,13.31,-10.98,14.92,1.05,5.99,1,7,6,8.33,89.42,97.76
"342","DET","2018-2019",27,148.5,42,265,-223,13.68,16.97,107.07,3,21,-18,12.5,1.21,8.48,3.15,19.09,-15.93,14.18,1.27,7.71,2,7,5,10,85.31,95.31
"343","EDM","2018-2019",27,134.52,38,189,-151,16.74,16.95,84.3,4,17,-13,19.05,1.78,7.58,3.04,12.15,-9.11,20.02,1.36,5.42,4,6,2,16.67,83.33,100
"344","FLA","2018-2019",25,115.7,37,166,-129,18.23,19.19,86.08,0,15,-15,0,0,7.78,2.59,8.67,-6.08,22.99,1.34,4.49,6,4,-2,0,81.93,81.93
"345","L.A","2018-2019",27,125.3,27,218,-191,11.02,12.93,104.39,2,21,-19,8.7,0.96,10.06,2.56,16.19,-13.63,13.66,1.23,7.75,1,5,4,10,83.06,93.06
"346","MIN","2018-2019",26,133.93,18,210,-192,7.89,8.06,94.08,0,13,-13,0,0,5.82,0.82,12.39,-11.57,6.21,0.37,5.55,4,3,-1,0,89.17,89.17
"347","MTL","2018-2019",27,141.48,36,221,-185,14.01,15.27,93.72,2,17,-15,10.53,0.85,7.21,1.9,13.13,-11.23,12.65,0.81,5.57,4,8,4,6.45,85.59,92.04
"348","N.J","2018-2019",26,146.35,43,201,-158,17.62,17.63,82.41,3,13,-10,18.75,1.23,5.33,2.65,15.23,-12.58,14.8,1.08,6.24,7,5,-2,9.68,86.46,96.14
"349","NSH","2018-2019",28,144.48,46,194,-148,19.17,19.1,80.56,3,17,-14,15,1.25,7.06,3.57,14.67,-11.1,19.57,1.48,6.09,0,7,7,10.71,84.4,95.12
"350","NYI","2018-2019",25,116.23,22,209,-187,9.52,11.36,107.89,2,14,-12,12.5,1.03,7.23,1.27,17.36,-16.09,6.81,0.65,8.96,3,3,0,14.29,88.52,102.81
"351","NYR","2018-2019",28,136.35,30,211,-181,12.45,13.2,92.85,3,18,-15,14.29,1.32,7.92,2.64,14.35,-11.71,15.56,1.16,6.32,2,3,1,13.04,85.83,98.87
"352","OTT","2018-2019",27,124.23,34,245,-211,12.19,16.42,118.33,2,20,-18,9.09,0.97,9.66,2.09,16.03,-13.95,11.51,1.01,7.74,2,2,0,7.14,87.34,94.48
"353","PHI","2018-2019",25,123.92,41,193,-152,17.52,19.85,93.45,2,20,-18,9.09,0.97,9.68,2.24,15.77,-13.53,12.42,1.08,7.64,7,2,-5,6.25,81.65,87.9
"354","PIT","2018-2019",25,112.37,40,153,-113,20.73,21.36,81.7,0,10,-10,0,0,5.34,2.98,11.46,-8.48,20.64,1.59,6.12,1,4,3,0,88.76,88.76
"355","S.J","2018-2019",28,138.98,46,185,-139,19.91,19.86,79.87,4,11,-7,26.67,1.73,4.75,3.57,18.06,-14.49,16.5,1.54,7.8,2,3,1,12.9,89.22,102.12
"356","STL","2018-2019",25,130.97,30,221,-191,11.95,13.74,101.25,0,16,-16,0,0,7.33,1.85,15.14,-13.29,10.89,0.85,6.94,1,10,9,0,86.55,86.55
"357","T.B","2018-2019",28,161.55,35,300,-265,10.45,13,111.42,2,15,-13,11.76,0.74,5.57,2.5,17.4,-14.9,12.56,0.93,6.46,5,4,-1,6.9,91.43,98.33
"358","TOR","2018-2019",27,113.98,32,204,-172,13.56,16.84,107.38,2,13,-11,13.33,1.05,6.84,2.36,14.01,-11.64,14.43,1.24,7.37,0,3,3,8.33,87.25,95.59
"359","VAN","2018-2019",29,171.72,39,292,-253,11.78,13.63,102.03,3,25,-22,10.71,1.05,8.74,2.25,19.75,-17.5,10.22,0.79,6.9,3,10,7,10,81.75,91.75
"360","VGK","2018-2019",28,130.9,45,189,-144,19.23,20.63,86.63,5,13,-8,27.78,2.29,5.96,2.63,12.31,-9.67,17.62,1.21,5.64,2,2,0,17.86,87.74,105.59
"361","WPG","2018-2019",26,141.95,25,232,-207,9.73,10.57,98.06,2,14,-12,12.5,0.85,5.92,2.01,16.43,-14.42,10.91,0.85,6.94,3,5,2,12.5,89.78,102.28
"362","WSH","2018-2019",26,151.2,47,198,-151,19.18,18.65,78.57,1,20,-19,4.76,0.4,7.94,2.39,14.59,-12.2,14.06,0.95,5.79,4,3,-1,2.86,81.65,84.51
