"","Team","Season","GP","TOI","CF","CA","C...","CF.","CF.60","CA.60","GF","GA","G...","GF.","GF.60","GA.60","xGF","xGA","xG...","xGF.","xGF.60","xGA.60","PENT","PEND","P...","Sh.","Sv.","PDO"
"288","NSH","2016-2017",82,372.07,66,593,-527,10.02,10.64,95.63,10,44,-34,18.52,1.61,7.1,4.9,39.27,-34.37,11.09,0.79,6.33,8,17,9,21.28,86.94,108.22
"289","NYI","2016-2017",82,376.4,77,670,-593,10.31,12.27,106.8,6,38,-32,13.64,0.96,6.06,6.31,42.08,-35.77,13.04,1.01,6.71,4,9,5,10.71,89.02,99.73
"290","NYR","2016-2017",82,355.51,110,545,-435,16.79,18.56,91.98,9,43,-34,17.31,1.52,7.26,7.82,37.91,-30.09,17.1,1.32,6.4,7,15,8,12.33,85.76,98.09
"291","OTT","2016-2017",82,395.84,108,682,-574,13.67,16.37,103.38,5,46,-41,9.8,0.76,6.97,6.6,41.16,-34.56,13.82,1,6.24,8,20,12,8.06,86.14,94.21
"292","PHI","2016-2017",82,405.14,76,617,-541,10.97,11.26,91.38,3,45,-42,6.25,0.44,6.66,4.99,37.06,-32.07,11.87,0.74,5.49,7,12,5,4.84,85.2,90.04
"293","PIT","2016-2017",82,392.57,93,646,-553,12.58,14.21,98.73,5,48,-43,9.43,0.76,7.34,5.5,47.32,-41.82,10.41,0.84,7.23,11,12,1,8.77,86.63,95.4
"294","S.J","2016-2017",81,353.72,67,623,-556,9.71,11.36,105.68,6,37,-31,13.95,1.02,6.28,4.45,39.31,-34.86,10.17,0.75,6.67,5,11,6,11.76,88.29,100.06
"295","STL","2016-2017",82,418.18,72,611,-539,10.54,10.33,87.67,2,35,-33,5.41,0.29,5.02,5.2,36.69,-31.49,12.41,0.75,5.26,16,10,-6,3.85,89.36,93.21
"296","T.B","2016-2017",82,413.07,72,666,-594,9.76,10.46,96.74,4,43,-39,8.51,0.58,6.25,6.51,40.1,-33.59,13.97,0.95,5.82,12,16,4,7.55,88.56,96.11
"297","TOR","2016-2017",82,401.48,82,722,-640,10.2,12.25,107.9,6,39,-33,13.33,0.9,5.83,7.3,49.63,-42.33,12.82,1.09,7.42,19,19,0,9.52,89.43,98.95
"298","VAN","2016-2017",82,358.15,62,587,-525,9.55,10.39,98.34,2,50,-48,3.85,0.34,8.38,3.6,41.27,-37.67,8.02,0.6,6.91,2,13,11,4.35,85.8,90.14
"299","WPG","2016-2017",82,411.46,93,707,-614,11.62,13.56,103.1,10,51,-41,16.39,1.46,7.44,6.66,42.87,-36.21,13.45,0.97,6.25,12,10,-2,15.62,86.07,101.69
"300","WSH","2016-2017",82,457.26,110,628,-518,14.91,14.43,82.4,6,43,-37,12.24,0.79,5.64,7.89,44.3,-36.41,15.12,1.04,5.81,9,23,14,7.06,85.57,92.63
"301","ANA","2017-2018",82,448.88,137,765,-628,15.19,18.31,102.25,10,41,-31,19.61,1.34,5.48,9.68,54.12,-44.44,15.17,1.29,7.23,12,18,6,11.11,90.35,101.46
"302","ARI","2017-2018",82,342.67,80,575,-495,12.21,14.01,100.68,2,41,-39,4.65,0.35,7.18,4.82,43.54,-38.72,9.97,0.84,7.62,9,16,7,3.39,86.82,90.21
"303","BOS","2017-2018",82,400.58,89,648,-559,12.08,13.33,97.06,8,36,-28,18.18,1.2,5.39,6.74,40.92,-34.18,14.14,1.01,6.13,5,14,9,13.11,89.74,102.86
"304","BUF","2017-2018",82,367.03,107,629,-522,14.54,17.49,102.83,8,44,-36,15.38,1.31,7.19,8.45,40.62,-32.17,17.22,1.38,6.64,13,9,-4,10.81,87.1,97.91
"305","CAR","2017-2018",82,300.51,56,496,-440,10.14,11.18,99.03,3,45,-42,6.25,0.6,8.98,4.78,39.12,-34.34,10.89,0.95,7.81,2,6,4,7.69,82.42,90.11
"306","CBJ","2017-2018",82,339.13,101,562,-461,15.23,17.87,99.43,3,47,-44,6,0.53,8.32,7.06,44.44,-37.38,13.71,1.25,7.86,3,14,11,3.9,84.44,88.33
"307","CGY","2017-2018",82,423.09,111,695,-584,13.77,15.74,98.56,7,47,-40,12.96,0.99,6.67,7.65,52.99,-45.34,12.62,1.08,7.51,15,27,12,8.86,87.89,96.75
"308","CHI","2017-2018",82,372.7,102,660,-558,13.39,16.42,106.25,4,44,-40,8.33,0.64,7.08,7.27,48.59,-41.32,13.01,1.17,7.82,7,17,10,5.26,87.61,92.87
"309","COL","2017-2018",82,442.23,82,825,-743,9.04,11.13,111.93,7,42,-35,14.29,0.95,5.7,6.28,50.31,-44.03,11.1,0.85,6.83,7,17,10,12.07,90.34,102.41
"310","DAL","2017-2018",82,449,103,743,-640,12.17,13.76,99.29,6,51,-45,10.53,0.8,6.82,8.49,49.69,-41.2,14.59,1.13,6.64,16,21,5,7.59,86.96,94.55
"311","DET","2017-2018",81,398.08,124,704,-580,14.98,18.69,106.11,9,48,-39,15.79,1.36,7.23,8.44,51.42,-42.98,14.1,1.27,7.75,11,16,5,10.23,86.92,97.15
"312","EDM","2017-2018",82,392.33,117,628,-511,15.7,17.89,96.04,11,56,-45,16.42,1.68,8.56,8.78,51.99,-43.21,14.45,1.34,7.95,6,13,7,12.94,82.72,95.66
"313","FLA","2017-2018",82,357.39,113,623,-510,15.35,18.97,104.59,9,40,-31,18.37,1.51,6.72,8.06,43.01,-34.95,15.78,1.35,7.22,7,9,2,11.69,89.39,101.08
"314","L.A","2017-2018",82,429.98,107,725,-618,12.86,14.93,101.17,6,35,-29,14.63,0.84,4.88,7.23,50.1,-42.87,12.61,1.01,6.99,9,20,11,7.41,90.51,97.92
"315","MIN","2017-2018",82,425.77,87,731,-644,10.64,12.26,103.01,7,43,-36,14,0.99,6.06,5.03,42.84,-37.81,10.51,0.71,6.04,9,12,3,11.48,88.74,100.22
"316","MTL","2017-2018",82,410.96,95,760,-665,11.11,13.87,110.96,7,65,-58,9.72,1.02,9.49,6.16,53.6,-47.44,10.31,0.9,7.83,10,8,-2,10.61,83.91,94.52
